# Формат: Название;Столица;Материк;Язык;Население(тыс);Площадь(тыс.км²);Валюта;Гос.строй;Глава
Россия;Москва;Евразия;Русский;146150;17125;Рубль;Федеративная республика;Путин В.В.
Франция;Париж;Евразия;Французский;67390;551;Евро;Президентская республика;Макрон Э.
Китай;Пекин;Азия;Китайский;1405000;9597;Юань;Социалистическая республика;Си Ц.
Исландия;Рейкьявик;Евразия;Исландский;366;103;Крона;Парламентская республика;Йоханссон К.
Норвегия;Осло;Евразия;Норвежский;5379;385;Крона;Конституционная монархия;Харальд V
Монголия;Улан-Батор;Евразия;Монгольский;3278;1564;Тугрик;Президентская республика;Ухнаагийн Х.
Ватикан;Ватикан;Евразия;Латынь;1;0.44;Евро;Теократическая монархия;Франциск
Люксембург;Люксембург;Евразия;Люксембургский;634;2.6;Евро;Конституционная монархия;Анри
Кипр;Никосия;Евразия;Греческий;1200;9.3;Евро;Президентская республика;Анастасиадис Н.

